name,appearance,original_habitat,modern_location,source_excerpt,source_translation,abilities,symbolism,category,mountain_location,chapter
狗跑,状如羊身人面，目在腋下,北哩山泽,山西省,其状如羊身人面，其目在腋下,形状像羊身人面，眼睛在腋下,食人,贪婪,混合形态或超自然生物,北,山经
三桑,未知,海外北经与大荒北经,河北省;山西省,三桑,三桑,未知,未知,混合形态或超自然生物,北,海外经
山驴,形似驴,县夏山,湖北省;河南省,所产兽多是山驴和廉,县夏山上有山驴和廉,无特殊能力,象征山地生物,兽类,北,山经
廉,形似鹿,县夏山,湖北省;河南省,所产兽多是山驴和廉,县夏山上有山驴和廉,无特殊能力,象征山地生物,兽类,北,山经
白履,形似鸟,县夏山,湖北省,所产鸟多是白履和白碍,县夏山上有白履和白碍,无特殊能力,象征山地生物,鸟类,北,山经
白碍,形似鸟,县夏山,湖北省;河南省,所产鸟多是白履和白碍,县夏山上有白履和白碍,无特殊能力,象征山地生物,鸟类,北,山经
鱼,形似作鱼，红色鳞甲,沧水,河北省;山东省,沧水多产些鱼，形状像作鱼，却长有红色的鳞甲,沧水中有红色鳞甲的鱼,吃了可以消除狐骚臭,象征净化,鱼类与水生生物,北,山经
狗跨,羊身人面，眼睛在腋下，虎牙人爪,多寿山,青海省;山东省,形状是羊的身子，人的脸，眼睛长在腋窝下，还长着老虎的牙齿，人的爪甲，它的声音像婴儿啼哭，名字叫狗跨，能吃人,羊身人面，有虎牙人爪，声音如婴儿啼哭,能吃人,凶猛食人兽,混合形态或超自然生物,北,山经
独猎,虎形白身，狗头马尾，猪鬃毛,北电山,河北省;山西省,形状像老虎，却是白色的身子，狗的头，马的尾巴，猪的紧毛，名字叫独猎,虎形白身，狗头马尾，猪鬃毛,无,奇特混合兽,混合形态或超自然生物,北,山经
租髓,乌鸦形，人面,北电山,河北省,形状像乌鸦，人的脸，名字叫租髓，晚上改翔，白天隐伏，吃了它可以解暑热,乌鸦形人面鸟，夜飞昼伏,解暑热,解暑神鸟,鸟类,北,山经
居靶,形似鼹鼠，通身红毛,梁渠山,青海省;四川省;云南省,形状像鼹鼠却通身长着红毛，鸣叫的声音像小猪,红毛鼹鼠形，叫声如小猪,无,奇特鼠类,兽类,北,山经
跑,形状像猿猴，四只翅膀，一只眼睛，狗尾巴,北山经,河北省;山西省;内蒙古自治区,形状像猿猴模样，四只翅膀，一只眼睛，狗的尾巴，名字叫跑,形状像猿猴，四翅一目，狗尾，名跑,治疗肚子痛;止腹海,治疗疾病,混合形态或超自然生物,北,山经
卓驿,形状像订羊，四角，马尾，有距,太行山,山西省;河北省;河南省,其状如订羊而四角，马尾而有距，其名卓驿,形状像订羊，四角，马尾，名卓驿,善还,未知,兽类,北,山经
上欧,白身，赤尾，六足,太行山,山西省;河北省;河南省,白身、赤尾、六足，其名上欧,白身，赤尾，六足，名上欧,善惊,未知,鸟类,北,山经
天马,状如白犬而黑头，见人则飞,马成之山,河北省,有兽需，其状如白犬而黑头，见人则飞，其名日天马，其鸣自训,天马形似白犬，黑头，见人则飞，鸣声自呼其名,见人则飞,神秘飞行,兽类,东北,山经
昌刷观,状如乌，首白而身青、足黄,马成之山,甘肃省;青海省,有乌硕，其状如乌，首白而身青、足黄，是名昌刷观，其鸣自训，食之不饥，可以忆寅,昌刷观形似乌鸦，白首青身黄足，鸣声自呼其名，吃了不饿，可助记忆,食之不饥;可以忆寅,助记忆,鸟类,东北,山经
飞鼠,状如免而鼠首，以其背飞,上昌天池之山,青海省;甘肃省,有曾址，其状如免而鼠首，以其背飞，其名目飞鼠,飞鼠形似兔，鼠头，用背飞行,以其背飞,飞行能力,兽类,东北,山经
领胡,状如牛而赤尾,阳山,河南省;陕西省,有兽下，其状如牛而赤尾，其开句，其状如句趴，其名目领胡，其鸣自该，食之已狂,领胡形似牛，赤尾，鸣声自呼其名，吃了可治狂病,食之已狂,治愈狂病,兽类,东,山经
象蛇,状如雌稚，五采以文,阳山,湖南省,有鸟霹，其状如雌稚，而五采以文，是自为慈牡，名上象蛇，其鸣自该,象蛇形似雌稚，五彩花纹，鸣声自呼其名,鸣声自该,五彩祥瑞,鸟类,东,山经
饮父之鱼,状如铺鱼，鱼首而黄身,留水,四川省;云南省,其中有饮父之鱼，其状如铺鱼，鱼首而黄身，食之已哎,饮父之鱼形似铺鱼，鱼头黄身，吃了可治呕吐,食之已哎,治愈呕吐,鱼类与水生生物,东,山经
酸与,状如蛇，四翼、六目、三足,绰景山,河南省;山东省,有鸟需，其状如蛇，而四翼、六目、三足，名上酸与,有鸟像蛇，四翼六目三足，名叫酸与,鸣声自该;见则其昌有和氏,吉祥之兆,混合形态或超自然生物,南,山经
克现,状如乌而白文,小修之山,江西省;湖南省,有鸟下，其状如乌而白文，名目克现,有鸟像乌鸦但有白色花纹，名叫克现,食之不泛,不详,鸟类,东,山经
黄岛,状如泉而白首,轩辕之山,河南省;陕西省,有鸟址，其状如泉而白首，其名目黄岛,有鸟像泉但有白首，名叫黄岛,鸣声自该;食之不妒,不详,鸟类,北,山经
精卫,形状像乌鸦，头上有花纹，白嘴，红脚,发鸠之山,山西省长子县,有鸟焉，其状如乌，文首、白哮、赤足，名目精卫,有一种鸟，形状像乌鸦，头上有花纹，白嘴，红脚，名叫精卫,衔木石填海,坚韧不拔,鸟类,北,山经
飞虫,不详,神国之山,青海省,有飞虫,有飞虫,不详,不详,混合形态或超自然生物,北,山经
鳅,不详,绣山,河南省;湖北省,其中有鳅,水中有鳅,不详,不详,鱼类与水生生物,北,山经
虽,不详,绣山,山东省,其中有虽,水中有虽,不详,不详,鱼类与水生生物,北,山经
送疾,状如羊，一角一目，目在耳后,泰戏之山,山西省,有兽直，其状如羊，一角一目，目在耳后，其名上送疾,有一种兽，形状像羊，一只角一只眼，眼睛在耳朵后面，名叫送疾,鸣声自训,象征不详,兽类,北,山经
师鱼,不详,北山经,山西省;河北省;内蒙古自治区,北山经中有师鱼，食之杀人,北山经中有师鱼，吃了会致命,食之杀人,危险,鱼类与水生生物,北,山经
狐,状如牛而三足,昌乾山,山东省;河南省,有兽需，其状如牛而三足，其名目狐,有兽名为狐，形状像牛但有三只脚,不详,不详,兽类,北,山经
黑,状如康，川在尾上,目伦山,山西省;陕西省,有兽看，其状如康，其川在尾上，其名百黑,有兽名为黑，形状像康，尾巴上有川,不详,不详,兽类,北,山经
蒲夷之鱼,不详,昌碍石之山,吉林省,强水出址，而东流注于河，其中多蒲夷之鱼,强水发源于此，向东流入河，其中有很多蒲夷之鱼,不详,不详,鱼类与水生生物,北,山经
大蛇,赤首白身,泰泽,山东省,是有大蛇，赤首白身，其音如牛，见则其邑大旱,这里有大蛇，红头白身，声音像牛，出现则当地大旱,引发大旱,不详,爬行与蛇类,北,山经
神,马身而人面,北次三经,山西省;河北省;内蒙古自治区,其神状皆马身而人面者廿神,这些神形状都是马身人面,不详,不详,混合形态或超自然生物,北,山经
夸蛾氏二子,无具体描述,太行山、王屋山,河南省济源县至山西省境,天帝感恩公移山之诚，命夸蛾氏二子，负二山,天帝命夸蛾氏二子移山,移山,象征移山之力,混合形态或超自然生物,中,山经
盐贩之泽,无具体描述,盐贩之泽,河东猫氏县,即盐池也，今在河东猫氏县,盐池位于河东猫氏县,无特殊能力描述,象征盐池,混合形态或超自然生物,未知,山经
黄鸟,状如泉而白首,巫山,重庆市;湖北省,状如泉而白首,形状像泉水，头部白色,未知,象征吉祥,鸟类,南,大荒南经
盐神,化为虫，与诸虫群飞,未知,山西省;青海省,盐神且即化为虫，与诸虫群飞，掩蔽日光,盐神化为虫，与群虫飞，遮蔽日光,化虫;遮蔽日光,灾难象征,混合形态或超自然生物,未知,未知
昌,似虾蜡，小而青,未知,吉林省;河北省,昌似虾蜡，小而青,昌像虾蜡，小而青,未知,未知,鱼类与水生生物,未知,未知
乾山,无草木，其阳有金、玉，其阴有铁而无水,乾山,山西省;陕西省;河北省,乾山，无草木，其阳有金、玉，其阴有铁而无水,乾山，没有草木，阳面有金玉，阴面有铁但无水,无,资源丰富,混合形态或超自然生物,未知,山经
幽都之山,上有玄乌、玄蛇、玄豹、玄虎等物,北海内,山东省;辽宁省,幽都之山在北海内，上有玄乌、玄蛇、玄豹、玄虎等物,幽都山在北海内，有玄乌、玄蛇、玄豹、玄虎等,无,神秘,混合形态或超自然生物,北,海内经
浴水,浴即黑水,未知,未知,浴即黑水也,浴水就是黑水,无,神秘,混合形态或超自然生物,未知,海内经
驿,形状像羚羊，有四只角，马的尾巴，鸡的足爪,归山,河南省;湖北省;陕西省,有一种兽，形状像羚羊却有四只角，马的尾巴，鸡的足爪，它的名字叫驿,形状像羚羊，有四只角，马的尾巴，鸡的足爪,善于盘旋钴蹈;鸣叫的声音是自呼其名,未知,兽类,北,山经
玖,形状像喜鹊，白身子，红尾巴，六只足,归山,湖北省;贵州省,有一种鸟，形状像喜鹊，白身子，红尾巴，六只足，它的名字叫玖,形状像喜鹊，白身子，红尾巴，六只足,性极警敏;鸣叫的声音是自呼其名,警敏象征;自呼其名,鸟类,北,山经
刷忌,形状像乌获，头是白的，身子是青的，足是黄的,马成山,未知,有一种乌，形状像乌获，头是白的，身子是青的，足是黄的，名字叫刷忌,形状像乌获，头白身青足黄,鸣叫的声音是自呼其名,未知,鸟类,北,山经
狗父鱼,形状像铺鱼，鱼的头，猪的身子,阴山,陕西省;内蒙古自治区,水中产有狗父鱼，形状像铺鱼，鱼的头，猪的身子，吃了它可以治呕吐。,形状像铺鱼，鱼头猪身，可治呕吐。,治呕吐,未知,鱼类与水生生物,东北,山经
肥遗蛇,不详,党水,甘肃省,党水多产肥遗蛇,党水中有很多肥遗蛇,不详,不详,爬行与蛇类,东,山经
克副,形状像乌朋，有白色斑纹,小侯山,山东省,有一种乌，形状像乌朋却有着白色的斑纹，名字叫克副,有一种鸟，形状像乌朋，有白色斑纹，名叫克副,吃了可以使眼睛不花,不详,鸟类,东,山经
旷虹,小飞虫,神国山,青海省;山西省;山东省,还产有旷虹之类的小飞虫,还有旷虹之类的小飞虫,不详,不详,混合形态或超自然生物,北,山经
发鸠山鸟,形状像乌鸦，花脑袋，白嘴,发鸠山,山西省,有一种鸟，形状像乌鸦，花脑袋，和白嘴,有一种鸟，形状像乌鸦，花脑袋，白嘴,不详,不详,鸟类,北,山经
兰犹,形状像羊，一只角，一只眼睛，眼睛长在耳朵后面,泰戏山,山西省,"有 一种 兽 ， 形状 像 羊 ， 一 只 角 ,， 一 只 眼睛 ， 眼 睛 长 在 耳 休 后 面 ， 名 字 叫 兰 犹 ， 它 鸣叫 的 声 音 就 是 自 呼 其 名 。",一种像羊的兽，一只角，一只眼睛在耳朵后面，名叫兰犹，叫声如同自呼其名。,鸣叫声如同自呼其名,奇特的外貌,兽类,北,山经
骆驼,形态似牛，三足,贷山,青海省;山西省;山东省,所产兽多是骆驼,贷山产骆驼,无,无,兽类,北,山经
仆骼,形态似订，肛门在尾巴上,贷山,山东省,所产鸟多是仆骼,贷山产仆骼鸟,无,无,鸟类,北,山经
黑九,形状像订，肛门长在尾巴上面,伦山,云南省;四川省,有一种兽，形状像订，它的肛门长在尾巴上面，它的名字叫黑九,伦山有肛门在尾的兽,无,奇特,兽类,北,山经
蒲夷鱼,无详细描述,碍石山,四川省;云南省,水中多产蒲夷鱼,碍石山水中有蒲夷鱼,无,无,鱼类与水生生物,北,山经
从从,形状像狗，有六只脚,枸状之山,江苏省;浙江省,有兽需，其状如犬，六足，其名上日从从，其鸣自该,形状像狗，有六只脚，名叫从从，叫声像自己的名字,无,无,兽类,东,山经
些鼠,形状像鸡，有鼠毛,枸状之山,宁夏回族自治区;甘肃省;青海省,有鸟需，其状如鸡而鼠毛，其名目些鼠，见则其邑大旱,形状像鸡，有鼠毛，名叫些鼠，出现则当地大旱,引发旱灾,旱灾象征,鸟类,东,山经
入鱼允,形状像修当,枸状之山,未知,其状如修当，其吃如篇，食之无疫疾,形状像修当，叫声像篇，吃了不会生病,食用后可预防疾病,健康象征,鱼类与水生生物,东,山经
堪天之鱼,形状不详,猎山,山西省;河北省,其 中 多 堪 天 之鱼,猎山水中多堪天之鱼,不详,不详,鱼类与水生生物,南,山经
兽希,状如夸父，黄毛,猎山,陕西省;四川省,有 兽 希 ， 其 状 如 夸 父 而 黄 毛 ， 其 音 如 呼 ， 见 则 天 下 大 水,猎山有兽希，状如夸父，黄毛，叫声如呼，出现则天下大水,预示大水,不详,兽类,南,山经
修彤,状如黄蛇，鱼愤，出入有光,独山,贵州省,其 状 如 黄 蛇 ， 鱼 愤 ， 出 人 有 光 ， 见 则 其 邑 大 旱,独山有修彤，状如黄蛇，鱼愤，出入有光，出现则其邑大旱,预示大旱,不详,混合形态或超自然生物,南,山经
独独,状如豚而有珠,泰山,山东省,"有 兽 硕 ， 其 状 如 豚 而 有 珠 , 名 目 独 独 , 其 鸣 自 训",泰山有兽独独，状如豚而有珠，其鸣自训,不详,不详,兽类,南,山经
臣赢,不详,竹山,湖南省;江西省,其 中 多 臣 赢,竹山水中多臣赢,不详,不详,鱼类与水生生物,南,山经
活东,状如鸡而鼠尾,东海,江苏省;浙江省;福建省,其状如鸡而鼠毛,形状像鸡，尾巴像老鼠,无,无,混合形态或超自然生物,东,山经
钱鱼,无描述,东海,浙江省;福建省;上海市,一名黄颊,又名黄颊,无,无,鱼类与水生生物,东,山经
能石,无描述,无描述,山东省;青海省;山西省,可以为研针治首肿者,可用来制作针，治疗头部肿胀,治疗头部肿胀,无,混合形态或超自然生物,东,山经
夺父,无描述,崇吾之山,河南省;陕西省,夺父即举父也,夺父就是举父,无,无,兽类,西,山经
泰山,无描述,泰山,山东省泰安县北,即东岳贷宗也,就是东岳泰山,无,无,混合形态或超自然生物,东,山经
虹时鱼,形状像犁牛，鸣声像猪叫,食水,四川省;山东省,水中多产虹时鱼，形状像犁牛，鸣声像猪叫,水中多产虹时鱼，形状像犁牛，鸣声像猪叫,无,无,鱼类与水生生物,东,山经
艇鱼,形状像禾鱼，嘴像针,站水,河北省;河南省,水中多产艇鱼，形状像禾鱼，它的嘴像针,水中多产艇鱼，形状像禾鱼，它的嘴像针,吃了它可以不染瘟疫,防疫的象征,鱼类与水生生物,东,山经
黄颊鱼,未详细描述,姑儿山,山东省;江苏省;浙江省,水中多产黄颊鱼,水中多产黄颊鱼,无,无,鱼类与水生生物,南,山经
堪天鱼,未详细描述,铬山,山东省;河南省,水中多产堪天鱼,水中多产堪天鱼,无,无,鱼类与水生生物,南,山经
修旺,形状像黄蛇，长着鱼的鳍,独山,贵州省,形状像黄蛇，长着鱼的鳍，出和人水中，闪闪有光,形状像黄蛇，长着鱼的鳍，闪闪发光,出现时地方会发生大旱灾,预示大旱,混合形态或超自然生物,南,山经
独镍,形状像猪，身体内却含孕着珠子,泰山,山东省,形状像猪，身体内却含孕着珠子，名字叫独镍，它鸣叫的声音便是自呼其名,形状像猪，体内含珠子，鸣叫时自呼其名,鸣叫时自呼其名,无,兽类,南,山经
办办扩,形状如牛，有虎纹,东山经,山东省;江苏省;安徽省,有兽大，其状如牛而虎文，其音如钦，其名日办办扩，其鸣自叫，见则天下大水,形状如牛，有虎纹，叫声如钦，见则天下大水,见则天下大水,预示洪水,兽类,东,山经
独猴,形状如莫而鸟咏，鸭目蛇尾,余条之山,四川省;云南省,有兽起，其状如莫而鸟咏，鸭目蛇尾，见人则眠，名目独猴，其鸣自训，见则繁蝗为败,形状如莫而鸟咏，鸭目蛇尾，见人则眠，见则繁蝗为败,见则繁蝗为败,预示蝗灾,兽类,南,山经
朱独,形状如狐而鱼愤,耿山,青海省;山西省,有兽焉，其状如狐而鱼愤，其名目朱独，其鸣自训，见则其国有恺,形状如狐而鱼愤，见则其国有恺,见则其国有恺,预示国家有难,兽类,南,山经
稳媚,形状像和串，有人足,目卢其之山,云南省;四川省,其状如和串而人足，其鸣自训，见则其国多士功,形状像和串，有人足，鸣声自训，出现则国家多士功,鸣声自训;见则其国多士功,国家多士功,混合形态或超自然生物,南,山经
儿狼,形状像狐，有翼,姑因之山,江苏省;山西省,其状如狐而有翼，其音如鸿脸，其名目儿狼，见则天下大旱,形状像狐，有翼，声音像鸿脸，出现则天下大旱,见则天下大旱,天下大旱,兽类,南,山经
莉暨,形状像狐，九尾、九首、虎爪,百名丽之山,青海省,其状如狐，而九尾、九首、虎爪，名上日莉暨，其音如婴儿，是食人,形状像狐，九尾、九首、虎爪，声音像婴儿，食人,食人,食人,混合形态或超自然生物,南,山经
寝科,形状像马，羊目、四角、牛尾,重山,四川省;云南省;青海省,其状如马，而羊目、四角、牛尾，其音如狼狗，其名目寝科，见则其国多狭客,形状像马，羊目、四角、牛尾，声音像狼狗，出现则国家多狭客,见则其国多狭客,国家多狭客,兽类,南,山经
划钩,形状像鬼，鼠尾,重山,四川省;云南省,其状如鬼而鼠尾，善登本，其名日划钩，见则其国多疫,形状像鬼，鼠尾，善登木，出现则国家多疫,善登木;见则其国多疫,国家多疫,鸟类,南,山经
珠整鱼,状如肺，有四眼六足,东山经,山东省;江苏省;安徽省,其状如肺，有目,形状像肺，有四只眼睛,吐珠,海中珍宝,鱼类与水生生物,东,山经
狐猴,状如狐，九尾、九首、虎爪,卢其之山,云南省;广西壮族自治区,其状如狐，而九尾、九首、虎爪,形状像狐，有九尾、九首、虎爪,九尾;九首;虎爪,神秘与力量,混合形态或超自然生物,未知,山经
水锦,水玉类,未知,未知,亦水玉类,属于水玉类,未知,水之精华,混合形态或超自然生物,未知,未知
黎媚,状如名豆而人足,未知,海南省;四川省,其状如名豆而人足,形状像名豆，有人足,人足形状,人形与植物结合,混合形态或超自然生物,未知,未知
狼狼,状如狐,未知,未知,其状如狐,形状像狐,未知,狐之变种,兽类,未知,未知
艺暨,未知,未知,未知,龙凤二音,发音像'龙凤',未知,龙凤之音,混合形态或超自然生物,未知,未知
敌和被,未知,未知,未知,音依,发音像'依',未知,未知,未知,未知,未知
迎客,狐，狭猎也,未知,河南省;陕西省;山东省,狐，狭猎也,狐，善于猎捕,猎捕,猎手,兽类,未知,未知
载筋,廉应角为般,未知,山东省;青海省;山西省,廉应角为般,廉应的角像'般',未知,角之象征,未知,未知,未知
零苓,形状像牛，有老虎的斑纹,空桑山,山东省,形状像牛却有着老虎的斑纹，它的声音好像人唱吟，它的名字叫零苓，它鸣叫的声音便是自呼其名，它一出现天下就会发生大水灾。,形状像牛，有虎纹，叫声如人吟唱，出现会引发大水灾。,引发大水灾,水灾的预兆,兽类,北,山经
珠鉴鱼,形状像一片肺叶，四只眼睛，六只足,葛山头,山东省,形状像一片肺叶，四只眼睛，六只足，从足里吐出青锦色的珠子来。它的味道酸中带甜，吃了它可以防止瘟疫。,形状像肺叶，四眼六足，吐青珠，食之防瘟疫。,吐青珠;防止瘟疫,防瘟疫,鱼类与水生生物,南,山经
独欠,形状像兔子，长着鸟的嘴，猫头鹰的眼睛和晨的尾巴,余我山,青海省,形状像兔子却长着鸟的嘴，猫头鹰的眼睛和晨的尾巴，见人就装死，名字叫独欠，它鸣叫的声音是自呼其名，它一出现各种害虫和飞蝗就会出来伤败秒称。,形似兔，鸟嘴猫眼晨尾，见人装死，出现引害虫。,引害虫;装死,害虫的预兆,兽类,南,山经
朱狂,形状像狐狸，长着鱼的鳍,卢其山,陕西省;甘肃省;四川省,形状像狐狸却长着鱼的鳍，它的名字叫朱狂，它鸣叫的声音是自呼其名,朱狂是一种形似狐狸但有鱼鳍的兽，鸣叫时自呼其名,鸣叫自呼其名;出现时国内会发生灵惰,不详,混合形态或超自然生物,南,山经
鹊恕,形状像名却长着人的足,沙水,河南省,形状像名却长着人的足，它鸣叫的声音是自呼其名,鹊恕是一种形似名但有人的足的生物，鸣叫时自呼其名,鸣叫自呼其名;出现时国家会有水土工程的劳役,不详,混合形态或超自然生物,南,山经
狼多,形状像狐狸却长着翅膀,姑因山,江苏省;山西省,形状像狐狸却长着翅膀，鸣叫的声音像鸿雁，它的名字叫狼多,狼多是一种形似狐狸但有翅膀的兽，鸣叫如鸿雁,鸣叫如鸿雁;出现时天下会发生大旱灾,不详,混合形态或超自然生物,南,山经
莉凤,形状像狐狸，长着九条尾巴、九个脑袋、老虎的爪子,儿丽山,山东省,形状像狐狸，却长着九条尾巴、九个脑袋、老虎的爪子，名字叫莉凤,莉凤是一种形似狐狸但有九尾、九头、虎爪的兽,鸣叫像婴儿暗哭;能够吃人,不详,混合形态或超自然生物,南,山经
科复,像马，羊头，四角，牛尾,空桑山,山东省,像马，却长着羊的头，四只角，和牛的尾巴，鸣叫的声音像狗喀,形状像马，有羊头、四角、牛尾，叫声像狗,出现时国家多有不法之徒,不详,混合形态或超自然生物,东,山经
到多,形状像野鸭，老鼠尾巴,空桑山,山东省,形状像野鸭，却长着老鼠的尾巴，善于攀登树木,形状像野鸭，有老鼠尾巴，善于爬树,出现时国家多瘟疫,不详,鸟类,东,山经
女胡归,形状像康，鱼目,尸胡之山,山东省;山西省,其状如康而鱼目，名上日女胡归，其鸣自训,形状像康，有鱼眼，叫声特别,不详,不详,兽类,东,山经
廉应,不详,孟子之山,山东省,甚兽多廉应,山中多廉应这种兽,不详,不详,兽类,东,山经
印挫之鱼,六足岛尾,目跨隅之山,云南省;四川省,六足岛尾，名目印挫之鱼允，其名自叫。,六足岛尾的鱼，名叫印挫之鱼，它的名字是自己叫出来的。,自叫,未知,鱼类与水生生物,南,山经
罩精精,状如牛而马尾,目跨隅之山,四川省;云南省,有兽焉，其状如牛而马尾，名罩精精，其鸣自叫。,有一种兽，形状像牛但有马尾，名叫罩精精，它的叫声是自己叫出来的。,自叫,未知,兽类,南,山经
急胡,形状像床，长着鱼的眼睛,户胡山,山西省;陕西省,有一种兽，形状像床却长着鱼的眼睛，名字叫急胡，它鸣叫的声音是自呼其名。,形状像床，长着鱼的眼睛，自呼其名。,自呼其名,未知,兽类,东,山经
鲸鱼,未知,诸钩山,山东省;江苏省,这座山方圆有百里方景，多产鲸鱼。,诸钩山多产鲸鱼。,未知,未知,鱼类与水生生物,东,山经
鹿,未知,孟子山,山东省,所产兽多是廉和鹿。,孟子山多产廉和鹿。,未知,未知,兽类,东,山经
欠欠鱼,形状像鲤鱼，六只足，鸟的尾巴,跤中山,河南省,有一种鱼，形状像鲤鱼，却有着六只足，鸟的尾巴，名字叫欠欠鱼，它鸣叫的声音是自呼其名。,一种六足鱼，鸣叫自呼其名。,鸣叫自呼其名,未知,鱼类与水生生物,南,山经
精精,形状像牛，长着马的尾巴,跨隅山,青海省;四川省;云南省,有一种兽，形状像牛却长着马的尾巴，名字叫精精，它鸣叫的声音是自呼其名。,一种牛形兽，鸣叫自呼其名。,鸣叫自呼其名,未知,兽类,南,山经
映龟,未知,深泽,河北省,泽里多产映龟。,深泽中多产映龟。,未知,未知,鱼类与水生生物,南,山经
兽需,形状像狼，赤首鼠目,昌北号之山,河北省;山西省,有兽需，其状如狼，赤首鼠目，其音如豚。,一种狼形兽，赤首鼠目，叫声如猪。,未知,战争预警;凶兆,兽类,北,山经
独狙,不详,不详,未知,名目 独 狙 二 ， 是 食 人,名为独狙，吃人,食人,不详,兽类,不详,不详
昕省,状如鸡，白首，鼠足，虎爪,不详,未知,有 鸟 直 ， 其 状 如 鸡 而 白 首 ， 鼠 足 而 虎 爪 ， 其 名 日 昕 省 ， 亦 食 人,鸟名昕省，吃人,食人,不详,鸟类,不详,不详
鳝鱼,状如鲤，大首,上旋山,山东省,其 中 多 鳝 鱼 ， 其 状 如 鲤 而 大 首 ， 食 者 不 更,鳝鱼，吃后不饿,食者不饿,不详,鱼类与水生生物,南,山经
划,状如杨，赤理，汁如血,东始之山,山东省;江苏省,有 木下 ， 其 状 如 杨 而 赤 理 ， 其 汁 如 血 ， 不 实 ， 其 名 目 划 ， 可 以 服 马,木名划，可驯马,可以服马,不详,植物,南,山经
紫鱼,状如铺，一首十身,东始之山,山东省,"其 中 多 美 贝 ,多 紫 鱼 ,其 状 如 铺 ， 一 首 而 十 身 … ， 其 臭 如 蕨 范 ， 食 之 不 烧",紫鱼，吃后不饿,食之不饿,不详,鱼类与水生生物,南,山经
薄鱼,状如饼鱼，一目,昌女愁之山,青海省,其 中 多 薄 鱼 ， 其 状 如 饼 鱼 而 一 目 ， 其 音 如 欧 ， 见 则 天 下 大 旱,薄鱼，出现则大旱,见则天下大旱,不详,鱼类与水生生物,东南,山经
当康,状如豚，有牙,钦山,浙江省;福建省,有 兽 看 ， 其 状 如 豚 而 有 牙 ， 其 名 日 当 康 ， 其 鸣 自 叫 ， 见 则 天 下 大 秆 旬,当康，出现则大丰收,见则天下大丰收,丰收,兽类,东南,山经
合宇,状如葛，人面，黄身，赤尾,乔山,陕西省,"有 曾 直 ， 其 状 如 葛 而 人 面 ， 黄 身 而 赤 尾 , 其 名 日 合 宇 ， 其 音 如 婴儿 。 是 兽 也 , 食 人 , 亦 食虫 蛇 ， 见 则 天 下 大 水",合宇，出现则大水,食人;食虫蛇;见则天下大水,不详,兽类,东北,山经
昔,状如牛，白首，一目，蛇尾,太山,山东省,"有 兽 硕 ， 其 状 如 牛 而 白 首 ,一目 而 蛇 尾 ， 其 名 日 昔 ， 行 水 则 竭 ， 行 草 则 死 ， 见 则 天 下",昔，行水则竭，行草则死,行水则竭;行草则死,不详,兽类,东,山经
猫狂,形状像狼，红色头，老鼠眼睛，声音像小猪,北号山,河北省;山西省;内蒙古自治区,形状像狼，红色的头，老鼠的眼睛，声音像小猪，名字叫猫狂，会吃人,一种形似狼的兽，会吃人,吃人,凶恶,兽类,北,山经
誉,形状像鸡，白色头，老鼠足，老虎爪,北号山,河北省;山西省;内蒙古自治区,形状像鸡，上白色的头，老鼠的足，老虎的爪子，它的名字叫是誉，也会吃人,一种形似鸡的鸟，会吃人,吃人,凶恶,鸟类,北,山经
鳞鱼,形状像鲤鱼，却长着一个大头,旋山,青海省;山东省,形状像鲤鱼，却长着一个大头，吃了它可以不生效疣,一种形似鲤鱼的鱼，可治病,治疗疣病,治病,鱼类与水生生物,南,山经
总,形状像杨树，红色纹理，汁水像血,东始山,山东省,形状像杨树，却有着红色的纹理，流出的汁水像血，不结果实，它的名字叫总,一种形似杨树的树，汁水像血,汁水可采集,神秘,植物,南,山经
合皇,形状像猪，长着人的脸，黄色身子，红色尾巴,秘山,四川省;云南省,形状像猪却长着人的脸，黄色的身子，红色的尾巴，名字叫合皇，它的声音像婴儿晓导,合皇出现预示大水灾,吃人;吃虫蛇;预示大水灾,水灾的征兆,混合形态或超自然生物,东北,山经
蔓,不详,东山经,山东省;江苏省;安徽省,字叫蔓，它走过水水就会干凋，走过草草就会枯死，它一出现天下就会发生大瘟疫。,蔓走过的地方水干草枯，出现时天下大疫。,使水干涸;使草枯死;引发瘟疫,灾难与瘟疫,混合形态或超自然生物,东,山经
籍,莞本而杏叶，黄华而莱实,甘束之山,甘肃省,其下有草需，莞本而杏叶，黄华而莱实，名目籍，可以已蔓。,草名为籍，可治蔓。,治疗蔓的病症,药用植物,植物,中,山经
稻后,状如默鼠而文题,甘束之山,甘肃省,有兽盐，其状如默鼠而文题，其名昌稻后，食之已瘦。,兽名为稻后，食之可治瘦病。,治疗瘦病,药用动物,兽类,中,山经
豪鱼,状如铺，赤史尾赤羽,渠猪之水,河南省;山东省,其中是多豪鱼，状如铺，赤史尾赤羽，可以已白癣。,豪鱼可治白癣。,治疗白癣,药用鱼类,鱼类与水生生物,中,山经
肝肝,状如狸，白尾,霍山,山西省,有兽看，其状如狸，而白尾有，名日肝肝,有一种兽，形状像狸，尾巴白色，名叫肝肝,养之可以已忧,象征无忧,兽类,北,山经
飞鱼,状如铺鱼,劳水,河南省;山东省,多飞鱼，其状如铺鱼，食之已峙衙,有很多飞鱼，形状像铺鱼，吃了可以治峙衙,食之已峙衙,象征治疗,鱼类与水生生物,西,山经
